,review,is_bad_review,review_clean,neg,neu,pos,compound,nb_chars,nb_words,word_also,word_amaze,word_amsterdam,word_area,word_around,word_arrive,word_ask,word_bar,word_bathroom,word_beautiful,word_bed,word_big,word_book,word_breakfast,word_building,word_centre,word_check,word_city,word_clean,word_coffee,word_come,word_comfortable,word_construction,word_could,word_day,word_design,word_door,word_even,word_floor,word_food,word_friendly,word_get,word_go,word_good,word_great,word_helpful,word_hotel,word_like,word_little,word_location,word_lot,word_lovely,word_make,word_nice,word_night,word_noise,word_old,word_one,word_park,word_pay,word_place,word_really,word_renovation,word_restaurant,word_room,word_shower,word_sleep,word_spacious,word_staff,word_stay,word_take,word_time,word_tram,word_use,word_view,word_walk,word_well,word_window,word_work,word_would
0, I am so angry that i made this post available via all possible sites i use when planing my trips so no one will make the mistake of booking this place I made my booking via booking com We stayed for 6 nights in this hotel from 11 to 17 July Upon arrival we were placed in a small room on the 2nd floor of the hotel It turned out that this was not the room we booked I had specially reserved the 2 level duplex room so that we would have a big windows and high ceilings The room itself was ok if you don t mind the broken window that can not be closed hello rain and a mini fridge that contained some sort of a bio weapon at least i guessed so by the smell of it I intimately asked to change the room and after explaining 2 times that i booked a duplex btw it costs the same as a simple double but got way more volume due to the high ceiling was offered a room but only the next day SO i had to check out the next day before 11 o clock in order to get the room i waned to Not the best way to begin your holiday So we had to wait till 13 00 in order to check in my new room what a wonderful waist of my time The room 023 i got was just as i wanted to peaceful internal garden view big window We were tired from waiting the room so we placed our belongings and rushed to the city In the evening it turned out that there was a constant noise in the room i guess it was made by vibrating vent tubes or something it was constant and annoying as hell AND it did not stop even at 2 am making it hard to fall asleep for me and my wife I have an audio recording that i can not attach here but if you want i can send it via e mail The next day the technician came but was not able to determine the cause of the disturbing sound so i was offered to change the room once again the hotel was fully booked and they had only 1 room left the one that was smaller but seems newer  Only the park outside of the hotel was beautiful ,1,angry make post available via possible site use plan trip one make mistake booking place make book via book com stayed night hotel july upon arrival place small room floor hotel turn room book specially reserve level duplex room would big window high ceiling room ok mind break window close hello rain mini fridge contain sort bio weapon least guessed smell intimately ask change room explain time book duplex btw cost simple double get way volume due high ceiling offer room next day check next day clock order get room wan best way begin holiday wait till order check new room wonderful waist time room get wanted peaceful internal garden view big window tire wait room place belonging rush city evening turn constant noise room guess make vibrate vent tube something constant annoying hell stop even make hard fall asleep wife audio record attach want send via mail next day technician come able determine cause disturb sound offer change room hotel fully book room leave one small seem new park outside hotel beautiful,0.114,0.78,0.105,0.0609,1022,173,0.0,0.0,0.0,0.0,0.0,0.0,0.08910194537425567,0.0,0.0,0.0674952377597503,0.0,0.1733842823149245,0.4334607057873112,0.0,0.0,0.0,0.1733842823149245,0.08447533617001515,0.0,0.0,0.08447533617001515,0.0,0.0,0.0,0.2534260085100455,0.0,0.0,0.07254468383881621,0.07396526585216691,0.0,0.0,0.20971512592963115,0.0,0.0,0.0,0.0,0.16847324729390492,0.0,0.0,0.0,0.0,0.0,0.3773133626991711,0.0,0.0805121186189001,0.08910194537425567,0.0,0.14508936767763242,0.05334778044110426,0.0,0.2534260085100455,0.0,0.0,0.0,0.4624289677376593,0.0,0.0,0.0,0.0,0.0,0.0,0.16484579065736643,0.0,0.08669214115746225,0.08910194537425567,0.0,0.0,0.267305836122767,0.0,0.07119342671105516
1, No real complaints the hotel was great great location surroundings rooms amenities and service Two recommendations however firstly the staff upon check in are very confusing regarding deposit payments and the staff offer you upon checkout to refund your original payment and you can make a new one Bit confusing Secondly the on site restaurant is a bit lacking very well thought out and excellent quality food for anyone of a vegetarian or vegan background but even a wrap or toasted sandwich option would be great Aside from those minor minor things fantastic spot and will be back when i return to Amsterdam ,0,real complaint hotel great great location surroundings room amenity service two recommendation however firstly staff upon check confuse regard deposit payment staff offer upon checkout refund original payment make new one bit confuse secondly site restaurant bit lack well think excellent quality food anyone vegetarian vegan background even wrap toast sandwich option would great aside minor minor thing fantastic spot back return amsterdam,0.098,0.617,0.285,0.9565,441,63,0.0,0.0,0.2733163789417863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2659244083206496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22252769246529602,0.0,0.2528286806591147,0.0,0.0,0.0,0.0,0.5910977576338937,0.0,0.12919610707017867,0.0,0.0,0.15949709526399733,0.0,0.0,0.2314784970993071,0.0,0.0,0.0,0.0,0.22252769246529602,0.0,0.0,0.0,0.0,0.0,0.190961856041844,0.1091139182453145,0.0,0.0,0.0,0.30353734488057005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24148464536821732,0.0,0.0,0.21838276943777216
2, Rooms are nice but for elderly a bit difficult as most rooms are two story with narrow steps So ask for single level Inside the rooms are very very basic just tea coffee and boiler and no bar empty fridge  Location was good and staff were ok It is cute hotel the breakfast range is nice Will go back ,0,room nice elderly bit difficult room two story narrow step ask single level inside room basic tea coffee boiler bar empty fridge location good staff ok cute hotel breakfast range nice go back,0.098,0.591,0.311,0.8555,191,33,0.0,0.0,0.0,0.0,0.0,0.0,0.3290188079157418,0.3119345406904042,0.0,0.0,0.0,0.0,0.0,0.22305988169945953,0.0,0.0,0.0,0.0,0.0,0.3201203387814328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2628896180607524,0.21666605728118046,0.0,0.0,0.15552653412197628,0.0,0.0,0.1920029247898133,0.0,0.0,0.0,0.5257792361215048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3940546642000062,0.0,0.0,0.0,0.18269943381583026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3, My room was dirty and I was afraid to walk barefoot on the floor which looked as if it was not cleaned in weeks White furniture which looked nice in pictures was dirty too and the door looked like it was attacked by an angry dog My shower drain was clogged and the staff did not respond to my request to clean it On a day with heavy rainfall a pretty common occurrence in Amsterdam the roof in my room was leaking luckily not on the bed you could also see signs of earlier water damage I also saw insects running on the floor Overall the second floor of the property looked dirty and badly kept On top of all of this a repairman who came to fix something in a room next door at midnight was very noisy as were many of the guests I understand the challenges of running a hotel in an old building but this negligence is inconsistent with prices demanded by the hotel On the last night after I complained about water damage the night shift manager offered to move me to a different room but that offer came pretty late around midnight when I was already in bed and ready to sleep  Great location in nice surroundings the bar and restaurant are nice and have a lovely outdoor area The building also has quite some character ,1,room dirty afraid walk barefoot floor look cleaned week white furniture look nice picture dirty door look like attack angry dog shower drain clog staff respond request clean day heavy rainfall pretty common occurrence amsterdam roof room leak luckily bed could also see sign earlier water damage also saw insect run floor overall second floor property look dirty badly keep top repairman come fix something room next door midnight noisy many guest understand challenge run hotel old building negligence inconsistent price demand hotel last night complain water damage night shift manager offer move different room offer come pretty late around midnight already bed ready sleep great location nice surroundings bar restaurant nice lovely outdoor area building also quite character,0.2,0.575,0.225,0.6249,779,119,0.363211997661506,0.0,0.14295321773303,0.11638910846025674,0.1355303868379087,0.0,0.0,0.1355303868379087,0.0,0.0,0.173429958427831,0.0,0.0,0.0,0.2243082492606674,0.0,0.0,0.0,0.12107066588716868,0.0,0.2710607736758174,0.0,0.0,0.1355303868379087,0.1355303868379087,0.0,0.28590643546606,0.0,0.3560047777733919,0.0,0.0,0.0,0.0,0.0,0.10305435136587177,0.0,0.1351474016725271,0.11638910846025674,0.0,0.08342208789439708,0.0,0.1121541246303337,0.0,0.3426635429912801,0.25834377408331216,0.0,0.14295321773303,0.0,0.0,0.0,0.0,0.0,0.0,0.09987916527778817,0.2282802922096189,0.12107066588716868,0.13908698040846562,0.0,0.07937987529474028,0.0,0.0,0.0,0.0,0.0,0.0,0.12107066588716868,0.0,0.0,0.0,0.0
4, You When I booked with your company on line you showed me pictures of a room I thought I was getting and paying for and then when we arrived that s room was booked and the staff told me we could only book the villa suite theough them directly Which was completely false advertising After being there we realised that you have grouped lots of rooms on the photos together leaving me the consumer confused and extreamly disgruntled especially as its my my wife s 40th birthday present Please make your website more clear through pricing and photos as again I didn t really know what I was paying for and how much it had wnded up being Your photos told me I was getting something I wasn t Not happy and won t be using you again  Amazing location and building Romantic setting ,0,book company line show picture room think get pay arrived room book staff told could book villa suite theough directly completely false advertising realise grouped lot room photos together leave consumer confuse extreamly disgruntle especially wife birthday present please make website clear pricing photo really know pay much wnded photo tell get something happy use amazing location building romantic setting,0.082,0.708,0.21,0.9042,410,60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6293613620290828,0.0,0.1691638628509859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20442265361846673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3383277257019718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12582687156468506,0.19483202651476786,0.0,0.1826128248686381,0.0,0.0,0.0,0.0,0.0,0.0,0.41957424135272187,0.0,0.17555155680466403,0.0,0.0,0.2582391162844926,0.0,0.0,0.0,0.11972993754574725,0.0,0.0,0.0,0.0,0.20978712067636093,0.0,0.0,0.0,0.0,0.0,0.0
5, Backyard of the hotel is total mess shouldn t happen in hotel with 4 stars  Good restaurant with modern design great chill out place Great park nearby the hotel and awesome main stairs ,0,backyard hotel total mess happen hotel star good restaurant modern design great chill place great park nearby hotel awesome main stair,0.074,0.475,0.451,0.9287,134,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362208451049178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24515242393371053,0.5367455224419871,0.0,0.5279235793246215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22289237135563272,0.0,0.3529464177199644,0.0,0.0,0.2601039841479696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6, Cleaner did not change our sheet and duvet everyday but just made bed They also didn t clean the floor and changed the body gel when we run out of it  The room is spacious and bright The hotel is located in a quiet and beautiful park ,1,clean change sheet duvet everyday make bed also clean floor change body gel run room spacious bright hotel locate quiet beautiful park,0.0,0.596,0.404,0.9042,134,22,0.3056901296623496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2734150181532189,0.2189457953776658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6113802593246992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.299624316869029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17061617047396987,0.0,0.0,0.0,0.0,0.0,0.3056901296623496,0.0,0.0,0.0,0.0,0.0,0.21610538523706976,0.0,0.0,0.0,0.0,0.0,0.14409566432456783,0.0,0.0,0.3609411688970596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7, Apart from the price for the brekfast Everything very good Good location Set in a lovely park friendly staff Food high quality We Oth enjoyed the breakfast ,0,apart price brekfast everything good good location set lovely park friendly staff food high quality oth enjoy breakfast,0.0,0.448,0.552,0.9432,119,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2975175130330397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40594993120168216,0.3163619114458473,0.0,0.0,0.577978846127283,0.0,0.0,0.0,0.0,0.0,0.25609371009844584,0.0,0.3442968955150631,0.0,0.0,0.0,0.0,0.0,0.0,0.2627489329690198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24368470370959563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8, Even though the pictures show very clean rooms the actual room was quit dirty and outlived Also check in is at 15 o clock but our room was not ready at that time,0,even though picture show clean room actual room quit dirty outlive also check clock room ready time,0.131,0.633,0.235,0.3182,99,17,0.36669982503903903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42126778610869114,0.0,0.36669982503903903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3525202855380445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5185629148877078,0.0,0.0,0.0,0.0,0.0,0.0,0.4005220101406385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9, The aircondition makes so much noise and its hard to sleep at night  The room was big enough and the bed is good The breakfast food and service on the hotel is good outside the hotel there is a big park which is very good for walk in the morning and evening Many people are having picnics and do some bicycling ,0,aircondition make much noise hard sleep night room big enough bed good breakfast food service hotel good outside hotel big park good walk morning even many people picnic bicycle,0.04,0.712,0.248,0.8074,177,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15336058947045697,0.4919671663759149,0.0,0.17140138353838766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20584104895387606,0.0,0.23386986246942248,0.0,0.0,0.0,0.49946491992457465,0.0,0.0,0.23901620427965628,0.0,0.0,0.0,0.0,0.0,0.21412066123239457,0.0,0.22844815185679812,0.2528212534555728,0.0,0.0,0.15137102409539105,0.0,0.0,0.0,0.0,0.0,0.10093181274769093,0.0,0.24598358318795746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21412066123239457,0.0,0.0,0.0,0.0
